date,predicted value
2014-12-01,30.4345731180573
2014-12-02,31.655605497460357
2014-12-03,18.306380518776308
2014-12-04,31.4358993913782
2014-12-05,23.818158134077493
2014-12-06,21.34638908501671
2014-12-07,22.95965138392549
2014-12-08,24.90248154272797
2014-12-09,20.05807249568835
2014-12-10,18.53616070747472
2014-12-11,19.507099796025017
2014-12-12,21.959088415498854
2014-12-13,25.625546187638975
2014-12-14,24.562401856164144
2014-12-15,27.90688889243151
2014-12-16,17.042749260286342
2014-12-17,23.646114214648605
2014-12-18,26.085201368428415
2014-12-19,25.600494984844232
2014-12-20,25.383613335298463
2014-12-21,15.022009798849211
2014-12-22,13.784884886419263
2014-12-23,14.203929901044887
2014-12-24,16.896650345172816
2014-12-25,30.401744508138933
2014-12-26,34.00289193584615
2014-12-27,26.72679947502442
2014-12-28,27.750191228321512
2014-12-29,30.477620691319657
2014-12-30,29.75450606501738
2014-12-31,25.711734118932753
